
Model of Maule fault in Chile
3 fixed CMB points

 Gravity changes  -- element group #1 

 Simulation time = 0.000000 ; step size = 0

 coordinates                          accelerations . . .->      geoid change & gradients
   X             Y            Z       dg_x        dg_y      dg_z      dg_net        dN    P_zx     P_zy     P_zz
546165  3.3823e+06  426799      6.40024e-11  1.88713e-10  -3.86953e-10     -9.82     -0.000344823    -4.69743e-17     -2.79547e-18     -6.1056e-18
-11730.3  -1.13878e+06  3.26536e+06      -3.42884e-11  -1.36688e-09  -1.46833e-09     -9.82     -0.000736769    -1.28022e-16     4.6369e-16     -2.13614e-15
-2.09759e+06  -184760  2.75458e+06      -1.12488e-09  -1.11911e-10  -1.08661e-09     -9.82     -0.000564714    1.02112e-15     -3.38709e-16     -4.53264e-16
705101  -2.31198e+06  2.48674e+06      1.93566e-10  -7.3225e-10  -9.74892e-10     -9.82     -0.000512695    -2.10837e-16     5.16445e-16     -3.2756e-19
1.0498e+06  -2.45995e+06  2.20806e+06      2.01465e-10  -5.45985e-10  -8.33378e-10     -9.82     -0.000470973    -7.03137e-17     1.47532e-16     -5.6531e-17
3.44654e+06  -306098  -235254      2.00369e-10  -7.12243e-12  -3.02036e-10     -9.82     -0.000312387    -5.34264e-17     2.6386e-17     -3.05871e-18
-2.6184e+06  -1.04248e+06  2.02946e+06      -5.3805e-10  -2.57919e-10  -8.18284e-10     -9.82     -0.000435948    6.55701e-17     6.62205e-17     -1.22897e-16
490975  3.17697e+06  1.29007e+06      7.20271e-11  3.0516e-10  -5.49775e-10     -9.82     -0.000390664    4.75612e-17     -7.45197e-17     6.67831e-17
-3.01837e+06  -1.6712e+06  -387973      -5.20203e-11  -1.28849e-11  -2.73037e-10     -9.82     -0.000289539    2.17021e-16     -1.2859e-16     -5.44414e-17
3.1115e+06  -1.37585e+06  -521842      1.70176e-10  -5.88185e-11  -2.87814e-10     -9.82     -0.000306416    -6.34039e-17     1.86426e-18     2.91514e-17
